name,lat,lon,alt_km
NORAD-976,72.8727,-65.6849,881.1
NORAD-977,51.8051,-100.2326,888.9
NORAD-978,11.0791,118.3980,2560.9
NORAD-979,-60.9457,172.4042,829.1
NORAD-1000,-31.8934,163.0182,2809.4
NORAD-1001,6.8549,27.9691,2769.8
NORAD-1002,-5.5410,-54.6014,2786.6
NORAD-1099,7.0214,104.2284,1059.9
NORAD-1208,20.0410,107.0357,902.2
NORAD-1244,35.5744,116.6778,897.9
NORAD-1245,65.2099,148.4591,903.1
NORAD-1271,-21.3972,-98.4318,931.0
NORAD-1272,-47.6744,8.5742,937.1
NORAD-1291,60.2622,-168.9015,899.5
NORAD-1292,63.1487,-87.7319,903.2
NORAD-1293,-68.3883,-160.2237,887.4
NORAD-1312,29.5323,140.9655,780.3
NORAD-1313,40.2255,-84.6984,2296.7
NORAD-1314,-47.3214,153.1737,1286.1
NORAD-1315,-62.8426,162.2999,1312.8
NORAD-1316,-37.6828,174.5805,1195.8
NORAD-1317,-2.3131,-131.3603,35800.2
NORAD-1318,-3.0847,-143.6533,36425.8
NORAD-1328,-5.6161,-125.6380,1084.2
NORAD-1335,-21.9421,-168.9809,1257.2
NORAD-1358,-23.1337,140.8445,1244.4
NORAD-1359,29.8081,-124.4185,2860.6
NORAD-1360,-16.6495,-174.8630,12107.5
NORAD-1361,-26.6345,33.4630,2797.6
NORAD-1389,-15.4520,-173.9640,1218.6
NORAD-1392,-4.6497,-90.7159,489.8
NORAD-1399,42.9573,-7.9279,1271.3
NORAD-1420,15.0283,72.5283,1125.0
NORAD-1425,0.5232,71.2756,1035.6
NORAD-1428,50.4912,71.2224,1023.7
NORAD-1430,56.0142,111.0087,771.4
NORAD-1433,-59.5783,-25.8213,703.9
NORAD-1435,17.5924,76.3332,986.6
NORAD-1458,4.5004,153.5973,147203.7
NORAD-1477,-27.9401,-15.4659,1643.8
NORAD-1478,-4.8871,-128.6042,958.3
NORAD-1479,-20.5393,-176.0681,1754.5
NORAD-1480,3.6174,53.0838,1029.6
NORAD-1502,1.9621,3.4041,1197.4
NORAD-1504,-18.5760,28.2518,1087.7
NORAD-1506,15.3914,-175.6354,2145.1
NORAD-1508,-40.3735,-85.2089,1120.6
NORAD-1510,-60.0880,-8.0391,897.8
NORAD-1511,19.3409,-1.8477,1089.6
NORAD-1512,25.8449,179.2616,1186.2
NORAD-1514,52.1858,-165.4354,1087.5
NORAD-1515,1.6929,0.9736,1060.0
NORAD-1520,-19.4805,-91.0477,1186.6
NORAD-1521,-36.1710,-2.9890,1099.9
NORAD-1522,-53.9212,-86.7788,1116.4
NORAD-1529,30.4813,33.7513,830.3
NORAD-1549,-14.7830,12.3159,1051.0
NORAD-1570,55.6037,91.5013,1449.8
NORAD-1571,26.6893,122.9637,1469.9
NORAD-1572,25.7452,178.7656,1498.0
NORAD-1573,-37.9717,98.0751,1540.5
NORAD-1574,38.4931,2.1122,1559.3
NORAD-1575,0.8159,13.0490,1472.9
NORAD-1576,-33.5018,-88.4529,2437.1
NORAD-1577,67.0411,178.7703,1077.5
NORAD-1580,-29.9343,129.7572,896.1
NORAD-1583,65.0186,15.6687,677.5
NORAD-1584,-0.6129,-138.1649,1582.5
NORAD-1585,-19.3544,171.9651,1463.0
NORAD-1586,36.2217,75.4788,1430.6
NORAD-1587,19.9124,62.3728,1418.2
NORAD-1588,-37.3222,26.4229,1595.2
NORAD-1589,19.6626,142.6474,1571.5
NORAD-1590,0.9884,-2.1800,1421.3
NORAD-1591,-43.4765,11.5739,1437.3
NORAD-1608,-42.7132,32.0968,954.7
NORAD-1613,-32.3026,-151.4950,1291.6
NORAD-1616,11.1398,-32.1579,705.0
NORAD-1617,-25.6979,-50.1610,1361.3
NORAD-1618,-35.2467,24.4532,1397.3
NORAD-1634,-50.1069,-88.7459,2154.6
NORAD-1641,30.0864,162.4629,703.4
NORAD-1642,31.6500,104.8839,619.3
NORAD-1646,32.2847,-97.6307,636.5
NORAD-1653,-25.6612,-141.7410,665.2
NORAD-1668,1.2131,-3.1142,634.7
NORAD-1671,29.1125,-3.0464,681.7
NORAD-1680,31.9705,70.5407,661.6
NORAD-1682,-15.5276,153.8288,625.9
NORAD-1684,8.7966,171.9918,805.7
NORAD-1716,30.3120,-114.9791,691.0
NORAD-1722,-26.0577,9.1510,700.7
NORAD-1726,-33.8457,-81.8458,1596.3
NORAD-1729,-56.6251,-138.3261,1548.8
NORAD-1738,54.8813,-106.6606,688.2
NORAD-1739,38.8301,126.2583,737.6
NORAD-1778,30.0240,-153.5489,1201.8
NORAD-1804,49.2079,-125.1450,2201.0
NORAD-1805,-34.1188,116.1446,523.7
NORAD-1806,-1.9548,-63.7498,1476.4
NORAD-1807,-22.8009,172.0692,2295.6
NORAD-1814,-6.5700,-85.5842,663.5
NORAD-1815,-7.5101,94.2368,604.1
NORAD-1829,22.5897,-113.8120,618.1
NORAD-1833,15.3013,179.5286,688.8
NORAD-1835,23.5353,-121.1886,535.7
NORAD-1859,10.6929,155.5073,711.0
NORAD-1863,-25.4904,96.9025,13413.8
NORAD-1864,-48.2712,-161.4098,1061.9
NORAD-1865,-37.3717,-147.3661,936.5
NORAD-1883,-24.3094,71.4530,502.2
NORAD-1915,31.8565,-152.6367,684.7
NORAD-1931,39.7280,-170.9321,636.9
NORAD-1942,48.8099,-55.2084,1473.6
NORAD-1943,-62.1542,-48.1283,771.3
NORAD-1948,-63.7145,58.8784,684.8
NORAD-1951,-77.7880,123.8994,794.2
NORAD-1952,59.5610,139.0898,1165.5
NORAD-1953,69.5677,140.0388,848.4
NORAD-1959,-11.6142,175.8471,724.7
NORAD-1961,21.6002,-122.0362,517.1
NORAD-1964,-28.1797,-80.1618,875.5
NORAD-1982,-74.0582,-19.6732,785.3
NORAD-1983,78.3428,32.8205,643.4
NORAD-2009,-13.2430,20.3704,3532.7
NORAD-2011,-37.2670,-75.6870,1222.2
NORAD-2016,-11.9294,172.4884,2180.4
NORAD-2017,29.8380,72.8529,1560.2
NORAD-2050,-18.8337,-81.6530,711.7
NORAD-2088,49.7683,116.0494,631.0
NORAD-2091,32.5410,60.3014,1418.9
NORAD-2092,-36.9413,134.5969,2489.9
NORAD-2096,6.1510,-5.9404,1399.0
NORAD-2097,-3.8193,124.8115,1007.8
NORAD-2118,-72.8839,-42.6732,814.9
